"ID","Fase","Módulo","Tarea","Descripción","Prioridad","Estado actual","Complejidad","Dependencias","Estimación","Perfil responsable","Criterios de aceptación","Pruebas requeridas","Riesgo","Paralelizable","Archivos o áreas afectadas"
"F4-02","Fase 4","Facturación","Definir planes y límites sobre los recursos que importan","El único límite modelado es stella_monthly_quota. No hay límites sobre proyectos, usuarios, almacenamiento, reportes ni corridas de cálculo, que son los recursos que realmente determinan el costo y el valor.","P1","No implementado","Media","Ninguna","2 d","Producto + Full-stack senior","Los planes quedan definidos con límites explícitos por recurso; el modelo de datos los representa; existe una decisión de negocio documentada sobre precios y niveles","Pruebas unitarias del modelo de planes","Alto: es una decisión de negocio que bloquea la ruta crítica; debe tomarse en la semana 4","No: bloquea a F4-01 y F4-03","db/schema.ts; db/migrations/; lib/stripe/client.ts"
"F4-03","Fase 4","Facturación","Aplicar los límites de plan en la capa de servicios","Sin aplicación de límites, cualquier organización puede consumir recursos ilimitados con independencia de su plan, lo que hace que la monetización sea nominal.","P1","No implementado","Alta","F4-02","3 d","Full-stack senior","Cada creación de recurso limitado verifica el límite del plan antes de proceder; al alcanzarlo se muestra un mensaje claro con opción de mejorar el plan; los límites se verifican en el servicio, nunca en el cliente","Pruebas unitarias por límite; pruebas de integración de agotamiento de cuota","Medio: toca muchos servicios y puede afectar a organizaciones existentes","No: ruta crítica comercial","lib/projects/; lib/pipeline/; lib/organizations/; lib/portfolios/"
"F4-04","Fase 4","Facturación","Implementar dunning y estados de suscripción","El webhook sólo maneja checkout.session.completed, customer.subscription.updated y customer.subscription.deleted. No maneja invoice.payment_failed ni pausas, por lo que un impago no tiene ninguna consecuencia en el producto.","P1","Parcial","Media","F4-01","2 d","Full-stack","Se manejan los eventos de fallo de pago; la organización pasa a un estado degradado documentado; se envían avisos al administrador; existe un periodo de gracia configurable","Pruebas unitarias por evento; pruebas de integración del webhook con eventos simulados","Medio","Sí","app/api/webhooks/stripe/route.ts; lib/stripe/; db/schema.ts"
"F4-05","Fase 4","Facturación","Completar el portal de cliente y la cancelación","El portal sólo es accesible si ya existe stripeCustomerId; no hay flujo de cancelación ni de cambio de plan desde la aplicación.","P2","Parcial","Media","F4-01","1.5 d","Full-stack","Un administrador accede al portal, cambia de plan y cancela; la cancelación se refleja en la aplicación; se conserva el acceso hasta el fin del periodo pagado","Pruebas de integración del webhook; recorrido E2E en modo de prueba","Bajo","Sí","app/app/organization/billing/"
"F4-06","Fase 4","Correo","Construir el juego completo de correos transaccionales","Sólo existe la plantilla de invitación. Faltan bienvenida, verificación de email, restablecimiento de contraseña, avisos de facturación, alertas de límite y notificaciones de reporte bloqueado.","P2","Parcial","Media","F2-11","3 d","Full-stack","Existen plantillas en español para todos los eventos transaccionales; el dominio está verificado en Resend; los fallos de envío se registran sin bloquear la operación; existe una vista de previsualización para desarrollo","Pruebas unitarias por plantilla; prueba de integración de envío contra el entorno de pruebas de Resend","Medio: depende de la verificación del dominio, que es un tiempo de espera externo","Sí","lib/email/; lib/invitations/email.ts"
"F4-07","Fase 4","Notificaciones","Construir un sistema de notificaciones en la aplicación","No existe ningún sistema de notificaciones. Eventos relevantes como una evidencia rechazada, un proxy pendiente de aprobación o un reporte bloqueado no llegan a quien debe actuar.","P3","No implementado","Alta","F4-06","3 d","Full-stack","Existe un centro de notificaciones en la aplicación; los eventos clave del pipeline generan notificación al rol adecuado; existe preferencia de recepción por correo","Pruebas unitarias del servicio; pruebas de integración por tipo de evento","Bajo","Sí","db/schema.ts; lib/notifications/; components/layout/"
"F4-08","Fase 4","Administración","Añadir gestión de usuarios y herramientas de soporte al panel","No existe ninguna pantalla de usuarios en /admin, ni herramientas de soporte, ni forma de diagnosticar el problema de una organización concreta sin consultar la base de datos directamente.","P2","No implementado","Media","Ninguna","2.5 d","Full-stack","Existe listado y búsqueda de usuarios; se puede ver la pertenencia y el estado de un usuario; existe una vista de diagnóstico por organización; toda acción administrativa queda auditada","Pruebas unitarias del servicio; pruebas de integración de permisos de super_admin","Medio: cualquier capacidad de soporte sobre datos de cliente exige control de acceso y auditoría estrictos","Sí","app/admin/; lib/admin/"
"F4-09","Fase 4","Analítica","Instrumentar analítica de producto","No existe ninguna instrumentación de producto, por lo que no hay forma de saber dónde abandonan los usuarios el pipeline ni qué funcionalidades se usan.","P3","No implementado","Media","Ninguna","1 d","Full-stack","Quedan instrumentados al menos estos 10 eventos: registro; organización creada; onboarding completado; proyecto creado; y un evento por cada uno de los 8 pasos del pipeline al completarse por primera vez; ningún evento incluye PII ni identificadores de beneficiarios; existe un panel que muestra la tasa de conversión entre pasos consecutivos del pipeline","Verificación de los 10 eventos en el entorno de pruebas; revisión del payload para confirmar ausencia de PII","Bajo: debe revisarse el impacto en privacidad","Sí","lib/analytics/; app/"
"F4-10","Fase 4","Soporte","Habilitar canal de soporte y centro de ayuda","No existe canal de soporte, documentación de usuario ni centro de ayuda. Un cliente con un problema no tiene a dónde acudir.","P2","No implementado","Baja","Ninguna","1 d","Producto","Existe un canal de soporte accesible desde la aplicación con SLA de respuesta declarado; existe documentación de usuario del camino dorado","Verificación manual del canal","Bajo","Sí","app/app/; documentación de usuario"
"F5-01","Fase 5","Pruebas","Construir la suite E2E del camino dorado","No existe ningún framework E2E en el repositorio. Los tres bloqueadores de UX encontrados en esta auditoría (404 de onboarding, trampa del no administrador, error que destruye la página) sólo aparecen ejecutando el producto, y ninguna prueba unitaria los habría detectado.","P2","No implementado","Alta","F0-02;F0-03;F3-01","4 d","Full-stack","Playwright cubre el camino completo desde el registro hasta el PDF público; cubre los caminos de error de las compuertas de negocio; cubre el aislamiento entre organizaciones; se ejecuta en CI contra un Supabase efímero","La propia suite E2E","Medio: exige un entorno efímero reproducible","No: depende de F3-01","tests/e2e/; playwright.config.ts; .github/workflows/"
"F5-02","Fase 5","CI/CD","Ejecutar las pruebas de integración y RLS en CI","ci.yml sólo ejecuta test:unit. Las 28 pruebas de integración y RLS, que son las que verifican el aislamiento entre organizaciones, nunca se ejecutan automáticamente, y por defecto apuntan a producción.","P2","No implementado","Media","F0-04;F0-05","2 d","DevOps","CI levanta un Supabase efímero, aplica todas las migraciones y ejecuta la suite de integración en cada PR; el fallo bloquea el merge","Ejecución del workflow en un PR de prueba","Medio: aumenta el tiempo de CI","Sí",".github/workflows/ci.yml; vitest.integration.config.ts"
"F5-03","Fase 5","Observabilidad","Reportar errores de cliente a Sentry","Sentry está inicializado en cliente, servidor y edge, y onRequestError captura los errores de servidor, pero Sentry.captureException no se invoca en ninguna parte del código. Los boundaries de error sólo hacen console.error, de modo que los fallos de cliente no llegan a ningún sitio.","P2","Parcial","Baja","F3-02","1 d","Full-stack","Los boundaries capturan explícitamente en Sentry con contexto de organización y usuario sin PII; los errores manejados relevantes también se reportan; se verifica la llegada de un error de prueba","Verificación manual con un error provocado","Bajo","Sí","app/error.tsx; app/global-error.tsx; instrumentation-client.ts"
"F5-04","Fase 5","Observabilidad","Introducir logging estructurado con correlación de petición","El código usa console.log, console.warn y console.error sin estructura ni identificador de correlación, lo que hace imposible reconstruir el recorrido de una petición fallida en producción.","P2","Parcial","Media","Ninguna","2 d","Full-stack + DevOps","Existe un logger estructurado con nivel, identificador de petición, organización y usuario; ningún log contiene PII ni secretos; los logs son consultables en producción","Pruebas unitarias del logger; revisión de los logs de un recorrido completo","Bajo","Sí","lib/logging/; toda la capa de servicios"
"F5-05","Fase 5","Observabilidad","Configurar alertas y presupuestos de error","No existen alertas. Un aumento de la tasa de error o de latencia pasaría inadvertido hasta que un cliente lo reportara.","P2","No implementado","Baja","F5-03;F5-04","1 d","DevOps","Existen alertas sobre tasa de error, latencia y fallos de webhook; llegan a un canal con guardia designada; se documenta el umbral de cada alerta","Simulacro de alerta","Bajo","Sí","Configuración de Sentry y Vercel; documentación de operación"
"F5-06","Fase 5","Continuidad","Verificar backups y documentar la restauración","No existe evidencia de backups verificados ni procedimiento de restauración documentado. Es configuración del panel de Supabase, no verificable desde el repositorio.","P1","No verificable","Media","Ninguna","2 d","DevOps","Los backups automáticos están confirmados y documentados; se ejecuta al menos una restauración real sobre un entorno de prueba; RTO y RPO quedan definidos por escrito","Ejercicio de restauración documentado con evidencia","Alto: la ausencia de backup verificado es riesgo de pérdida total","Sí","Documentación de operación; configuración de Supabase"
"F5-07","Fase 5","Rendimiento","Ejecutar pruebas de carga y fijar presupuesto de rendimiento","No existen pruebas de carga. El cuello de botella previsible es renderToBuffer en la ruta pública de PDF, que además no tiene límite de tasa.","P3","No implementado","Media","F2-06","2 d","DevOps","Existe un presupuesto de rendimiento por ruta; se ejecutan pruebas de carga sobre las rutas públicas y la de cálculo; los resultados quedan documentados","Suite de pruebas de carga","Bajo","Sí","tests/load/; documentación de operación"
"F5-08","Fase 5","Calidad","Eliminar las 52 advertencias de variables sin usar y elevar la regla a error","pnpm lint reporta 56 advertencias, 52 de ellas @typescript-eslint/no-unused-vars. El ruido acumulado oculta problemas reales; ese es su costo, no el estilo.","P3","Parcial","Baja","Ninguna","1 d","Full-stack","Cero advertencias de lint; la regla queda configurada como error; CI bloquea ante cualquier advertencia nueva","pnpm lint en CI","Bajo","Sí","Todo el repositorio; eslint.config.mjs"
"F5-09","Fase 5","Pruebas","Reparar las aserciones comentadas","tests/report-checkbox.test.ts contiene aserciones comentadas que documentan la intención en lugar de verificarla, produciendo una cobertura ilusoria.","P3","Roto","Baja","Ninguna","0.5 d","Full-stack","Las aserciones comentadas se implementan o se eliminan con justificación; ninguna prueba del repositorio contiene aserciones inactivas","pnpm test:unit","Bajo","Sí","tests/report-checkbox.test.ts"
"F5-10","Fase 5","Pruebas","Medir cobertura de código y fijar un umbral en CI","vitest.config.ts no tiene configuración de cobertura. Las 1027 pruebas miden cantidad, no cobertura, y no se sabe qué partes del sistema están realmente protegidas.","P3","No implementado","Baja","Ninguna","1.5 d","Full-stack","Se genera informe de cobertura; se fija un umbral mínimo para lib/ que CI hace cumplir; el informe queda accesible en cada PR","Ejecución de cobertura en CI","Bajo","Sí","vitest.config.ts; .github/workflows/ci.yml"
"F6-01","Fase 6","Entornos","Crear un Supabase de preview aislado","El propio equipo lo identificó como gate obligatorio número 1 en CLOSED_BETA_READINESS.md y sigue abierto. Sin él, las migraciones no pueden validarse antes de producción.","P1","No implementado","Media","F0-04","2 d","DevOps","Existe un proyecto Supabase exclusivo para preview; Vercel Preview lo usa; ningún secreto de producción se reutiliza en preview; las migraciones se aplican allí primero siguiendo SUPABASE_MIGRATION_GATE.md","Aplicación completa de migraciones en preview; suite de integración contra preview","Medio: costo adicional de infraestructura","Sí","Configuración de Vercel y Supabase; documentación de operación"
"F6-02","Fase 6","CI/CD","Automatizar migraciones en el pipeline con rollback probado","Las migraciones se aplican manualmente. No existe automatización ni procedimiento de rollback probado.","P2","No implementado","Alta","F2-02;F6-01","3 d","DevOps","Las migraciones se aplican automáticamente en preview y, con aprobación humana explícita, en producción; existe un procedimiento de rollback probado; cada despliegue registra qué migraciones aplicó","Ensayo completo de despliegue y rollback en preview","Alto: la automatización de migraciones en producción es intrínsecamente peligrosa y exige aprobación humana","No: depende de F2-02 y F6-01",".github/workflows/; scripts/; documentación de operación"
"F6-03","Fase 6","Documentación","Reescribir el README y publicar los ADR","El README describe el estado de hace 39 migraciones (habla del Sprint 1 y de portafolios como pendientes), menciona un archivo .env.local.example inexistente, presenta RLS como la protección principal cuando la aplicación la omite, e instruye ejecutar db/policies/001 manualmente, paso que degrada la seguridad.","P1","Roto","Baja","F2-01;F2-14","2 d","Full-stack senior","El README refleja el producto real y sus pasos se verifican ejecutándolos desde cero en una máquina limpia; los ADR de decisiones estructurales quedan publicados; se elimina toda instrucción peligrosa","Ejecutar los pasos del README desde cero","Bajo","Sí","README.md; docs/"
"F6-04","Fase 6","Operación","Escribir y ensayar runbooks de incidente","No existen runbooks. Ante un incidente no hay procedimiento escrito para diagnosticar ni para recuperar.","P2","No implementado","Media","F5-05;F5-06","2 d","DevOps","Existen runbooks para caída de base de datos, fallo de webhook, agotamiento de cuota de Gemini, corrupción de datos y fuga de credenciales; cada uno se ensaya al menos una vez","Simulacro documentado por runbook","Bajo","Sí","docs/ops/"
"F6-05","Fase 6","Legal","Verificar operativamente los términos y la política de privacidad","El propio equipo marcó como gate pendiente confirmar retención, cifrado, roles de responsable y encargado, y el lenguaje de inmutabilidad contra los contratos reales de los proveedores y los controles operativos existentes.","P1","Parcial","Media","F2-10","2 d","Legal externo + Producto","Cada afirmación de los documentos legales se corresponde con un control real y verificable; existen acuerdos de tratamiento con Supabase, Vercel, Resend, Google y Stripe; el consentimiento de cookies cumple la jurisdicción objetivo","Revisión legal documentada","Alto: afirmar controles que no existen es un riesgo legal y reputacional","Sí","app/(public)/terminos/; app/(public)/privacidad/; documentación de operación"
"F6-06","Fase 6","Lanzamiento","Ejecutar la checklist de lanzamiento y el go/no-go","No existe un procedimiento formal de lanzamiento con aprobación humana explícita.","P2","No implementado","Baja","Todas las fases","1 d","Producto + DevOps","Todos los puntos de la checklist de PLAN_TRABAJO_HASTA_SAAS.md están verificados con evidencia; existe aprobación humana explícita para Vercel y para Supabase; hay guardia designada para las primeras 72 horas","Revisión completa de la checklist","Bajo","No: es el gate final","Documentación de operación"
"F6-07","Fase 6","Privacidad","Revisar la privacidad de Session Replay","instrumentation-client.ts activa Session Replay con muestreo del 10 por ciento de sesiones y del 100 por ciento de sesiones con error, en un producto que maneja datos de programas sociales y de poblaciones beneficiarias. Están activos maskAllText y blockAllMedia, pero no hay una decisión documentada.","P3","Parcial","Baja","F6-05","1 d","DevOps + Legal","Existe una decisión documentada sobre Session Replay; el enmascaramiento se verifica revisando grabaciones reales; la política de privacidad lo declara explícitamente","Revisión manual de grabaciones capturadas","Medio: grabar sesiones con datos de beneficiarios sin declararlo es un riesgo de privacidad","Sí","instrumentation-client.ts; app/(public)/privacidad/"
